,Unnamed: 0,url,Product_Code,Name,In_Stock,Price,Nib_Size,Condition,Brand,Type,Color,Demonstrator,Body_Material,Cap_Type,Compatible_inks_&_refills,Filling_Mechanism,Grip_Material,Nib_Color,Nib_Material,Postable,Retractable,Trim,Diameter_Body,Diameter_Cap_(without_clip),Diameter_Cap_(with_clip),Diameter_Grip,Length_Body,Length_Cap,Length_Nib,Length_Overall_(Closed),Length_Overall_(Posted),Weight_Body,Weight_Cap,Weight_Overall,Max_Ink_Capacity_Piston_Vac,Max_Ink_Capacity_Cartridge,Max_Ink_Capacity_Converter,Max_Ink_Capacity_Eyedropper,Cap_Rotations,Description
57,57,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-custom-823-fountain-pen-amber,PN60558,Pilot Custom 823 Fountain Pen - Amber,True,$288.00,"Fine, Medium, Broad",New,Pilot,Fountain Pens,Brown,Yes,Resin,Screw-cap,Bottled inks,Vacuum,Resin,Gold,14kt Gold,Yes,No,Gold,12.5mm (0.5in),15.6mm (0.6in),19.8mm (0.8in),10.5mm (0.4in),131mm (5.2in),71.5mm (2.8in),23mm (0.9in),149mm (5.9in),164mm (6.5in),19g (0.7oz),10g (0.4oz),29g (1oz),2.55ml,,,,1.75,"
A unique alternative to the everyday fountain pen, the Pilot Custom 823 is in a league of its own. The translucent smoky amber cap and barrel, visible ink supply, and unique writing system make refilling effortless. This fountain pen features a 14k gold nib, matching gold trim, and a vacuum filling system. A simple, yet elegant design, the Custom 823 is great for everyday writing.
Each pen is merchandised in a silver sateen lined Pilot gift box with a 70ml bottle of Pilot Blue (same ink as Namiki blue) fountain pen ink.
"
58,58,https://www.gouletpens.com/collections/all-fountain-pens/products/conklin-duragraph-fountain-pen-cracked-ice,CK71317-BN,Conklin Duragraph Fountain Pen - Cracked Ice,True,$52.00,"Extra-Fine, Fine, Medium, Flex",New,Conklin,Fountain Pens,"Silver/Grey, White/Ivory",No,Resin,Screw-cap,"Bottled inks, Standard international short cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),15mm (0.6in),18mm (0.7in),10mm (0.4in),125mm (4.9in),64mm (2.5in),23mm (0.9in),140mm (5.5in),175mm (6.9in),14g (0.5oz),12g (0.4oz),26g (0.9oz),,1.06ml,1.04ml,,1,"
The Duragraph draws its inspiration from the rich heritage of the Conklin brand, which was purchased and revived by Yafa in 2009. It is manufactured in Asia, assembled and distributed from Canoga Park, California, and pays tribute to its roots with a “Toledo, Ohio” engraving on its nib and barrel. The cap top is embellished with the Conklin Est. 1898 logo and the cap band are engraved with the famous Duragraph model script font with three Conklin Crescent logos on either side of the model name. The fountain pen comes with a converter and a cartridge. It comes with a silver #6 steel nib.In 1923, the Duragraph model was launched, and shortly afterwards was considered to be ""the definitive"" pen. The model was named by combining the words, durable and graph - Duragraph. Created to last as an heirloom to serve many generations, the Duragraph is offered with a lifetime guarantee. In honor of the Duragraph's 91st birthday, Conklin has introduced a new Duragraph collection that brings a fresh, modern style to a timeless oversize flat top design. Crafted from quality hand made resins, the Duragraph is substantial in size, yet not so large to be unwieldy in the hand.The Duragraph offers the ideal choice for your individual handwriting style. The cap top mounted clip allows the pen to sit low in the pocket, making this model a more practical choice for everyday use. Each Conklin fine writing instrument is housed in a luxury gift presentation box lined with rich satin. It comes with a converter and also accepts short standard international cartridges. Ideal as a perfect gift for yourself or a loved one, this model is the right size for both men and women who use fine writing instruments in their daily professional lives.
We are excited to exclusively offer this pen with a German-made nib from Bock. For over 75 years Bock has been manufacturing parts for fine writing instruments and we’re confident that you’ll love how these nibs enhance your writing experience!The Bock logo will be imprinted on the nib rather than the imprint shown in the photo, and will not have an imprint to note the nib size.This exclusive Bock offering only applies to the Extra-Fine, Fine, and Medium nibs, and does not apply to the Omniflex nibs.
Click here to shop all compatible short standard international ink cartridges.
"
59,59,https://www.gouletpens.com/collections/all-fountain-pens/products/noodlers-ahab-flex-fountain-pen-black,N15001,Noodler's Ahab Flex Fountain Pen - Black,True,$23.00,Flex,New,Noodler's,Fountain Pens,Black,No,Resin,Screw-cap,Bottled inks,"Eyedropper, Piston",Resin,Silver,Steel,Yes,No,Silver,14mm (0.6in),15mm (0.6in),20mm (0.8in),9.9mm (0.4in),128mm (5in),60mm (2.4in),20mm (0.8in),139mm (5.5in),170mm (6.7in),12g (0.4oz),6g (0.2oz),18g (0.6oz),2.00ml,,,6.17ml,2.25,"
                                    The Noodler's Ahab flex pen features a steel flexible #6 nib and a slide piston mechanism. If you'd like, you can even remove the piston mechanism and use the pen as an eyedropper for a massive 6ml ink capacity. This solid black Ahab is made of a celluloid derivative and is technically biodegradable and formed from a ""renewable resource"". The vegetal resin body of this pen may show particles or striations within the material. This is most noticeable in demonstrators and bright colors.
The Noodler's flex pens were designed for the hands-on tinkerer - they are made to be taken apart and adjusted. The nib and feed pull right out and can be adjusted and heat set for optimal performance. Don't be afraid to get a little ink on your fingers while you learn how to use this pen.
As a simple rule of thumb for writing with a flex pen, just apply slight pressure on your downstrokes, which will spread the tines and increase the line width, achieving that optimal line variation. Make sure to go slowly so that the ink can keep up with your writing. As with any flex pen, it just takes practice!
Due to the residual machining oils used when cutting the feeds for these pens, we highly encourage you to give the pen a good flush before use. We recommend any of the following options: distilled water, water with a touch of dish soap, a pre-packaged pen flush, or a solution of 10% clear ammonia to water. This should resolve most ink flow issues!
                                    
                                "
60,60,https://www.gouletpens.com/collections/all-fountain-pens/products/jinhao-993-shark-fountain-pen-light-blue,JIN-993-06-EF,Jinhao 993 Shark Fountain Pen - Light Blue,True,$3.95,Extra-Fine,New,Jinhao,Fountain Pens,Blue,No,Resin,Screw-cap,"Bottled inks, Standard international short cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,,12mm (0.5in),17.3mm (0.7in),,9.8mm (0.4in),124.1mm (4.9in),52.1mm (2.1in),3.6mm (0.1in),154.4mm (6.1in),154mm (6.1in),7g (0.2oz),4g (0.1oz),11g (0.4oz),,0.89ml,0.80ml,3.35ml,3,"
Attack your writing with these Jinhao Shark fountain pens! This fun plastic pen is actually a decent writer. It features a hooded steel nib, fills via standard international cartridge/converter (converter included, no ink) or converted to an eyedropper, and the shark head cap unscrews open and pushes to post. The translucent triangular grip assists in proper pen position. Perfect for kids, the avid shark enthusiast, or anyone who enjoys a fun affordable pen.
By converting this pen to an eyedropper, you can fill the entire barrel with ink for maximum ink capacity! All you need to do is add an o-ring and a small amount of silicone grease to the threads (available separately).
Click here to shop all compatible short standard international ink cartridges.
"
61,61,https://www.gouletpens.com/collections/all-fountain-pens/products/conklin-duragraph-fountain-pen-orange-nights,CK71377-BN,Conklin Duragraph Fountain Pen - Orange Nights,True,$52.00,"Extra-Fine, Fine, Medium, Flex",New,Conklin,Fountain Pens,"Black, Orange",No,Resin,Screw-cap,"Bottled inks, Standard international short cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),15mm (0.6in),18mm (0.7in),10mm (0.4in),125mm (4.9in),64mm (2.5in),23mm (0.9in),140mm (5.5in),175mm (6.9in),14g (0.5oz),12g (0.4oz),26g (0.9oz),,1.06ml,1.04ml,,1,"
The Duragraph draws its inspiration from the rich heritage of the Conklin brand, which was purchased and revived by Yafa in 2009. It is manufactured in Asia, assembled and distributed from Canoga Park, California, and pays tribute to its roots with a “Toledo, Ohio” engraving on its nib and barrel. The cap top is embellished with the Conklin Est. 1898 logo and the cap band are engraved with the famous Duragraph model script font with three Conklin Crescent logos on either side of the model name. The fountain pen comes with a converter and a cartridge. It comes with a silver #6 steel nib.
In 1923, the Duragraph model was launched, and shortly afterwards was considered to be ""the definitive"" pen. The model was named by combining the words, durable and graph - Duragraph. Created to last as an heirloom to serve many generations, the Duragraph is offered with a lifetime guarantee. In honor of the Duragraph's 91st birthday, Conklin has introduced a new Duragraph collection that brings a fresh, modern style to a timeless oversize flat top design. Crafted from quality hand made resins, the Duragraph is substantial in size, yet not so large to be unwieldy in the hand.The Duragraph offers the ideal choice for your individual handwriting style. The cap top mounted clip allows the pen to sit low in the pocket, making this model a more practical choice for everyday use. Each Conklin fine writing instrument is housed in a luxury gift presentation box lined with rich satin. It comes with a converter and also accepts short standard international cartridges. Ideal as a perfect gift for yourself or a loved one, this model is the right size for both men and women who use fine writing instruments in their daily professional lives.
We are excited to exclusively offer this pen with a German-made nib from Bock. For over 75 years Bock has been manufacturing parts for fine writing instruments and we’re confident that you’ll love how these nibs enhance your writing experience!The Bock logo will be imprinted on the nib rather than the imprint shown in the photo, and will not have an imprint to note the nib size.This exclusive Bock offering only applies to the Extra-Fine, Fine, and Medium nibs, and does not apply to the Omniflex nibs.
Click here to shop all compatible short standard international ink cartridges.
"
62,62,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-parallel-fountain-pen-blue,PN90053,"Pilot Parallel Fountain Pen - Blue, 6.0mm",True,$10.00,6.0mm Italic,New,Pilot,Fountain Pens,"Blue, Silver/Grey",No,Resin,Screw-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,No,No,Blue,11.3mm (0.4in),13mm (0.5in),19.4mm (0.8in),9.8mm (0.4in),159mm (6.3in),60mm (2.4in),7.5mm (0.3in),168mm (6.6in),,6g (0.2oz),4g (0.1oz),10g (0.4oz),,1.17ml,1.37ml,4.03ml,2.5,"
The Pilot Parallel fountain pen is a major breakthrough in calligraphy pen design. The unique parallel plate structure achieves a more beautiful and sharper handwriting than existing calligraphy pens. This product comes with a Parallel pen with a huge 6.0mm stub italic nib, one black and one red ink cartridge, a converter to flush the pen, and a nib cleaner.Using two Pilot Parallel Pens, each with different Pilot Parallel Mixable color cartridges, you produce beautifully gradated lettering by touching the nibs together before writing. To use with bottled fountain pen ink, the Pilot Con-40 converter works best (sold separately).
Click here to shop all compatible Pilot ink cartridges.
"
63,63,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-go-fountain-pen-sapphire,TW-M2530210,TWSBI GO Fountain Pen - Sapphire,True,$18.99,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,"Clear, Blue",Yes,Resin,Snap-cap,Bottled inks,Piston,Resin,Silver,Steel,Yes,No,Silver,14.7mm (0.6in),17.2mm (0.7in),,10mm (0.4in),125mm (4.9in),60.4mm (2.4in),17.6mm (0.7in),134mm (5.3in),171.9mm (6.8in),12g (0.4oz),5g (0.2oz),17g (0.6oz),1.61ml,,,,,"
                                    The TWSBI GO is the most affordable TWSBI fountain pen yet! A unique feature of this model is the spring loaded piston. This pen has a translucent blue body and clear grip section, so you can see your ink and the spring piston mechanism at work, and has a clipless push/snap cap. It is incredibly easy to fill this pen from bottled ink - simply unscrew the barrel to access the plunger, submerge the pen’s nib down into the ink, press down on the piston to compress the spring, and it will fill the barrel with ink! Screw the barrel back on and you’re ready to write. It is completed with a silver stainless steel nib.
                                    
                                "
64,64,https://www.gouletpens.com/collections/all-fountain-pens/products/lamy-al-star-fountain-pen-graphite,LMY-L26EF,LAMY AL-Star Fountain Pen - Graphite,True,$37.60,"Extra-Fine, Fine, Medium",New,LAMY,Fountain Pens,Silver/Grey,No,Aluminum,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,12.8mm (0.5in),14.8mm (0.6in),19.5mm (0.8in),8.9mm (0.4in),130mm (5.1in),64.4mm (2.5in),15.9mm (0.6in),139.4mm (5.5in),167.4mm (6.6in),12g (0.4oz),10g (0.4oz),22g (0.8oz),,1.56ml,1.08ml,,,"
The LAMY AL-Star is the aluminum big brother to the LAMY Safari. The smoky grey translucent triangular grip section makes it great for those starting out who have no idea how to hold a fountain pen, but it's used and loved by fountain pen lovers of all levels of experience. This graphite silver aluminum AL-Star comes with an interchangeable silver steel nib, which can be easily swapped out for another size. This fountain pen comes with a blue LAMY ink cartridge so you can get started writing right away. If you'd like to use bottled fountain pen ink, you can also purchase a LAMY Z28 converter.
Note: To ensure quality performance, LAMY tests their pens as a final step in manufacturing. If you happen to see any residual blue ink, rest assured that this is normal.
Click here to shop all compatible LAMY ink cartridges.
"
65,65,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-go-fountain-pen-smoke,TW-M2530260,TWSBI GO Fountain Pen - Smoke,True,$18.99,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,"Clear, Silver/Grey",Yes,Resin,Snap-cap,Bottled inks,Piston,Resin,Silver,Steel,Yes,No,Silver,14.7mm (0.6in),17.2mm (0.7in),,10mm (0.4in),125mm (4.9in),60.4mm (2.4in),17.6mm (0.7in),134mm (5.3in),171.9mm (6.8in),12g (0.4oz),5g (0.2oz),17g (0.6oz),1.61ml,,,,,"
                                    The TWSBI GO is the most affordable TWSBI fountain pen yet! A unique feature of this model is the spring loaded piston. This pen has a translucent smoke grey body and clear grip section, so you can see your ink and the spring piston mechanism at work, and has a clipless push/snap cap. It is incredibly easy to fill this pen from bottled ink - simply unscrew the barrel to access the plunger, submerge the pen’s nib down into the ink, press down on the piston to compress the spring, and it will fill the barrel with ink! Screw the barrel back on and you’re ready to write. It is completed with a silver stainless steel nib.
                                    
                                "
66,66,https://www.gouletpens.com/collections/all-fountain-pens/products/conklin-duragraph-fountain-pen-purple-nights,CK71397-BN,Conklin Duragraph Fountain Pen - Purple Nights,True,$52.00,"Extra-Fine, Fine, Medium, Flex",New,Conklin,Fountain Pens,"Black, Purple",No,Resin,Screw-cap,"Bottled inks, Standard international short cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),15mm (0.6in),18mm (0.7in),10mm (0.4in),125mm (4.9in),64mm (2.5in),23mm (0.9in),140mm (5.5in),175mm (6.9in),14g (0.5oz),12g (0.4oz),26g (0.9oz),,1.06ml,1.04ml,,1,"
The Duragraph draws its inspiration from the rich heritage of the Conklin brand, which was purchased and revived by Yafa in 2009. It is manufactured in Asia, assembled and distributed from Canoga Park, California, and pays tribute to its roots with a “Toledo, Ohio” engraving on its nib and barrel. The cap top is embellished with the Conklin Est. 1898 logo and the cap band are engraved with the famous Duragraph model script font with three Conklin Crescent logos on either side of the model name. The fountain pen comes with a converter and a cartridge. It comes with a silver #6 steel nib.In 1923, the Duragraph model was launched, and shortly afterwards was considered to be ""the definitive"" pen. The model was named by combining the words, durable and graph - Duragraph. Created to last as an heirloom to serve many generations, the Duragraph is offered with a lifetime guarantee. In honor of the Duragraph's 91st birthday, Conklin has introduced a new Duragraph collection that brings a fresh, modern style to a timeless oversize flat top design. Crafted from quality hand made resins, the Duragraph is substantial in size, yet not so large to be unwieldy in the hand.The Duragraph offers the ideal choice for your individual handwriting style. The cap top mounted clip allows the pen to sit low in the pocket, making this model a more practical choice for everyday use. Each Conklin fine writing instrument is housed in a luxury gift presentation box lined with rich satin. It comes with a converter and also accepts short standard international cartridges. Ideal as a perfect gift for yourself or a loved one, this model is the right size for both men and women who use fine writing instruments in their daily professional lives.
We are excited to exclusively offer this pen with a German-made nib from Bock. For over 75 years Bock has been manufacturing parts for fine writing instruments and we’re confident that you’ll love how these nibs enhance your writing experience!The Bock logo will be imprinted on the nib rather than the imprint shown in the photo, and will not have an imprint to note the nib size.This exclusive Bock offering only applies to the Extra-Fine, Fine, and Medium nibs, and does not apply to the Omniflex nibs.
Click here to shop all compatible short standard international ink cartridges.
"
67,67,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-custom-74-fountain-pen-blue,PN12372,Pilot Custom 74 Fountain Pen - Blue,True,$160.00,"Extra-Fine, Fine, Medium, Broad",New,Pilot,Fountain Pens,Blue,Yes,Resin,Screw-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,14kt Gold,Yes,No,Silver,12mm (0.5in),14mm (0.6in),19mm (0.7in),9.7mm (0.4in),125mm (4.9in),66mm (2.6in),19mm (0.7in),143mm (5.6in),155mm (6.1in),14g (0.5oz),8g (0.3oz),22g (0.8oz),,1.03ml,1.23ml,,1.75,"
The Pilot Custom 74 is a simple yet sophisticated fountain pen. The minimalistic design with a transparent blue cap and barrel make it a must-have for any pen enthusiast. This fountain pen features a rhodium-plated 14k gold nib and comes with a Pilot CON-70 converter, which holds an ample ink supply while uniquely combining the characteristics of a vacuum-filling and push-button converter. You can also use proprietary Pilot/Namiki ink cartridges (one is included) if you prefer. Each Custom 74 pen is packaged in an elegant Pilot gift box.
Click here to shop all compatible Pilot ink cartridges.
"
68,68,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-plumix-fountain-pen-light-blue,PN90042,"Pilot Plumix Fountain Pen - Light Blue, 1.0mm Stub",True,$9.25,1.0mm Stub,New,Pilot,Fountain Pens,Blue,Yes,Resin,Screw-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Blue,12mm (0.5in),13mm (0.5in),16mm (0.6in),10.4mm (0.4in),144mm (5.7in),31mm (1.2in),17.7mm (0.7in),150mm (5.9in),152mm (6in),9g (0.3oz),1g (0.04),10g (0.4oz),,1.09ml,1.29ml,,2.5,"
The Pilot Plumix is a fashionable, refillable fountain pen that's convenient and easy to use. The translucent light blue body allows for easy visibility of ink, and it has a medium stub italic nib (1.0mm). It conveniently refills with standard Pilot ink refill cartridges (one included), or accepts a Pilot CON-40 converter for use with bottled ink (sold separately).
Click here to shop all compatible Pilot ink cartridges.
"
69,69,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-e95s-fountain-pen-burgundy-ivory,PN60839,Pilot E95s Fountain Pen - Burgundy/Ivory,True,$136.00,"Extra-Fine, Fine, Medium",New,Pilot,Fountain Pens,"Red, White/Ivory",No,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Gold,14kt Gold,Yes,No,Gold,11.3mm (0.44in),12.7mm (0.50in),14.6mm (0.57in),9.3mm (0.37in),105.0mm (4.13in),80.0mm (3.15in),24.0mm (0.94in),119.0mm (4.69in),147.0mm (5.79in),11.0g (0.39oz),6.0g (0.21oz),17.0g (0.60oz),,1.16ml,0.87ml,,,"
The Pilot E95s is a nod to the great design of a previous era with the elegant, stream-lined look of a classic 1960's fountain pen. Enjoy the beauty of a vintage styled fountain pen with a slim, lightweight burgundy barrel, ivory cap, and gold trim. A unique feature of this pen is the inlaid 14k gold nib for exquisitely smooth writing.  It comes with a Pilot CON-40 converter, and also accepts proprietary Pilot ink cartridges. It is packaged in an elegant Pilot gift box.
Click here to shop all compatible Pilot ink cartridges.
"
70,70,https://www.gouletpens.com/collections/all-fountain-pens/products/jinhao-993-shark-fountain-pen-purple,JIN-993-05-EF,Jinhao 993 Shark Fountain Pen - Purple,True,$3.95,Extra-Fine,New,Jinhao,Fountain Pens,Purple,No,Resin,Screw-cap,"Bottled inks, Standard international short cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,,12mm (0.5in),17.3mm (0.7in),,9.8mm (0.4in),124.1mm (4.9in),52.1mm (2.1in),3.6mm (0.1in),154.4mm (6.1in),154mm (6.1in),7g (0.2oz),4g (0.1oz),11g (0.4oz),,0.89ml,0.80ml,3.35ml,3,"
Attack your writing with these Jinhao Shark fountain pens! This fun plastic pen is actually a decent writer. It features a hooded steel nib, fills via standard international cartridge/converter (converter included, no ink) or converted to an eyedropper, and the shark head cap unscrews open and pushes to post. The translucent triangular grip assists in proper pen position. Perfect for kids, the avid shark enthusiast, or anyone who enjoys a fun affordable pen.
By converting this pen to an eyedropper, you can fill the entire barrel with ink for maximum ink capacity! All you need to do is add an o-ring and a small amount of silicone grease to the threads (available separately).
Click here to shop all compatible short standard international ink cartridges.
"
71,71,https://www.gouletpens.com/collections/all-fountain-pens/products/noodlers-ahab-flex-fountain-pen-truk-lagoon,N15065,Noodler's Ahab Flex Fountain Pen - Truk Lagoon,True,$23.00,Flex,New,Noodler's,Fountain Pens,Blue,Yes,Resin,Screw-cap,Bottled inks,"Eyedropper, Piston",Resin,Silver,Steel,Yes,No,Silver,14mm (0.6in),15mm (0.6in),20mm (0.8in),9.9mm (0.4in),128mm (5in),60mm (2.4in),20mm (0.8in),139mm (5.5in),170mm (6.7in),12g (0.4oz),6g (0.2oz),18g (0.6oz),2.00ml,,,6.17ml,2.25,"
                                    The Noodler's Ahab flex pen features a steel flexible #6 nib and a slide piston mechanism. If you'd like, you can even remove the piston mechanism and use the pen as an eyedropper for a massive 6ml ink capacity. This translucent turquoise demonstrator Ahab is made of a celluloid derivative and is technically biodegradable and formed from a ""renewable resource"". The vegetal resin body of this pen may show particles or striations within the material. This is most noticeable in demonstrators and bright colors.
The Noodler's flex pens were designed for the hands-on tinkerer - they are made to be taken apart and adjusted. The nib and feed pull right out and can be adjusted and heat set for optimal performance. Don't be afraid to get a little ink on your fingers while you learn how to use this pen.
As a simple rule of thumb for writing with a flex pen, just apply slight pressure on your downstrokes, which will spread the tines and increase the line width, achieving that optimal line variation. Make sure to go slowly so that the ink can keep up with your writing. As with any flex pen, it just takes practice!
Due to the residual machining oils used when cutting the feeds for these pens, we highly encourage you to give the pen a good flush before use. We recommend any of the following options: distilled water, water with a touch of dish soap, a pre-packaged pen flush, or a solution of 10% clear ammonia to water. This should resolve most ink flow issues!
                                    
                                "
72,72,https://www.gouletpens.com/collections/all-fountain-pens/products/lamy-safari-fountain-pen-red,LMY-L16F,LAMY Safari Fountain Pen - Red,True,$29.60,"Extra-Fine, Fine, Medium",New,LAMY,Fountain Pens,Red,No,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,12.3mm (0.5in),13.5mm (0.5in),17mm (0.7in),8.9mm (0.3in),128.7mm (5.1in),65.4mm (2.6in),15.9mm (0.6in),139.5mm (5.5in),163.9mm (6.5in),10g (0.4oz),7g (0.2oz),17g (0.6oz),,1.56ml,1.08ml,,,"
The LAMY Safari is a workhorse pen, known throughout the fountain pen community for its ruggedness, reliability, and no-nonsense functionality. The triangular grip makes it great for those starting out who have no idea how to hold a fountain pen, but it's used and loved by fountain pen lovers of all levels of experience. This red Safari comes with an interchangeable silver steel nib, which can be easily swapped out for another size. This fountain pen comes with a blue LAMY ink cartridge so you can get started writing right away. If you'd like to use bottled fountain pen ink, you can also purchase a LAMY Z28 converter.
Note: To ensure quality performance, LAMY tests their pens as a final step in manufacturing. If you happen to see any residual blue ink, rest assured that this is normal.
Click here to shop all compatible LAMY ink cartridges.
"
73,73,https://www.gouletpens.com/collections/all-fountain-pens/products/platinum-preppy-fountain-pen-crystal,Plat-PSQC-400-04-2,Platinum Preppy Fountain Pen - Crystal,True,$5.00,Fine,New,Platinum,Fountain Pens,Clear,Yes,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,Clear,12mm (0.5in),13mm (0.5in),17mm (0.7in),10mm (0.4in),122mm (4.8in),59.7mm (2.3in),14.5mm (0.6in),138mm (5.4in),154mm (6.1in),9g (0.3oz),4g (0.1oz),13g (0.5oz),,1.43ml,0.98ml,4.33ml,,"
The Platinum Preppy fountain pen is one of the best values for the money! This is a fantastic starter fountain pen, or great for lending to a friend. This pen features a crystal clear plastic body, and a stainless steel nib. The Preppy accepts Platinum cartridges or a Platinum converter to fill with bottled ink. It comes with one black ink cartridge. The Platinum converter is sold separately.By converting this pen to an eyedropper, you can fill the entire barrel with ink for maximum ink capacity! All you need to do is add an o-ring and a small amount of silicone grease to the threads (available separately).
Click here to shop all compatible Platinum ink cartridges.
"
74,74,https://www.gouletpens.com/collections/all-fountain-pens/products/kaweco-skyline-sport-fountain-pen-mint,KAW-10000754,Kaweco Skyline Sport Fountain Pen - Mint,True,$27.00,"Extra-Fine, Fine, Medium",New,Kaweco,Fountain Pens,Green,No,Resin,Screw-cap,"Bottled inks, Standard international short cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,Silver,11.0mm (0.43in),14.0mm (0.55in),18.0mm (0.71in),9.4mm (0.37in),100.0mm (3.94in),70.0mm (2.76in),17.0mm (0.67in),105.0mm (4.13in),132.0mm (5.20in),6.0g (0.21oz),4.0g (0.14oz),10.0g (0.35oz),,0.97ml,0.67ml,2.89ml,1,"
The Kaweco Skyline Sport is a pocket-sized fountain pen that when posted transforms into a full-sized pen that easily fits in your hand. This solid pastel mint green fountain pen comes with a stainless steel nib and an ink cartridge to get you started writing right away! It uses short standard international ink cartridges, or you can easily convert it to an eyedropper pen with a little bit of silicone grease. Converter and optional clip sold separately.Note: This pen comes with an ink cartridge stored in the body. If it doesn’t fall right out, you can get it loose by giving the body a few solid taps on a hard surface.
Click here to shop all compatible short standard international ink cartridges.
"
75,75,https://www.gouletpens.com/collections/all-fountain-pens/products/lamy-safari-fountain-pen-yellow,LMY-L18F,LAMY Safari Fountain Pen - Yellow,True,$29.60,"Extra-Fine, Fine, Medium",New,LAMY,Fountain Pens,Yellow,No,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,12.3mm (0.5in),13.5mm (0.5in),17mm (0.7in),8.9mm (0.3in),128.7mm (5.1in),65.4mm (2.6in),15.9mm (0.6in),139.5mm (5.5in),163.9mm (6.5in),10g (0.4oz),7g (0.2oz),17g (0.6oz),,1.56ml,1.08ml,,,"
The LAMY Safari is a workhorse pen, known throughout the fountain pen community for its ruggedness, reliability, and no-nonsense functionality. The triangular grip makes it great for those starting out who have no idea how to hold a fountain pen, but it's used and loved by fountain pen lovers of all levels of experience. This yellow Safari comes with an interchangeable silver steel nib, which can be easily swapped out for another size. This fountain pen comes with a blue LAMY ink cartridge so you can get started writing right away. If you'd like to use bottled fountain pen ink, you can also purchase a LAMY Z28 converter.
Note: To ensure quality performance, LAMY tests their pens as a final step in manufacturing. If you happen to see any residual blue ink, rest assured that this is normal.
Click here to shop all compatible LAMY ink cartridges.
"
